FirstAuthor,YearOfPublication,Study,StudyDesign,TypeOfIntervention,SpecificOutcome,OutcomeSubgroup,AgeAtOutcome,AgeAtOutcomeGroup,DiseaseRisk,Intervention,TotalNInter,NEventsInter,TotalNCtrl,NEventsCtrl,OverallRiskOfBias,OverallRiskOfBiasGroup,ConflictOfInterestBias,ConflictOfInterestBiasGroup,TimeOfMultifacetedIntervention
Arshad,2003,Isle of Wight Prevention Study,RCT,Multifaceted,ASaero,,8,any,High,MULTI,55,11,62,28,Unclear,High/Unclear,Low,Low,post
Arshad,2003,Isle of Wight Prevention Study,RCT,Multifaceted,ASfd,,8,any,High,MULTI,55,0,62,5,Unclear,High/Unclear,Low,Low,post
Arshad,2003,Isle of Wight Prevention Study,RCT,Multifaceted,BHR,,8,5to14,High,MULTI,52,17,58,25,Unclear,High/Unclear,Low,Low,post
Arshad,2003,Isle of Wight Prevention Study,RCT,Multifaceted,Wheeze,,8,5to14,High,MULTI,58,8,62,17,Unclear,High/Unclear,Low,Low,post
Arshad,2007,Isle of Wight Prevention Study,RCT,Multifaceted,AD,,8,5to14,High,MULTI,58,21,62,29,Unclear,High/Unclear,Low,Low,post
Arshad,2007,Isle of Wight Prevention Study,RCT,Multifaceted,ADatop,,8,5to14,High,MULTI,55,5,62,17,Unclear,High/Unclear,Low,Low,post
Arshad,2007,Isle of Wight Prevention Study,RCT,Multifaceted,RecWheeze,,8,5to14,High,MULTI,58,23,62,30,Unclear,High/Unclear,Low,Low,post
Arshad,2007,Isle of Wight Prevention Study,RCT,Multifaceted,RecWheeze.atop,,8,5to14,High,MULTI,55,7,62,16,Unclear,High/Unclear,Low,Low,post
Arshad,2007,Isle of Wight Prevention Study,RCT,Multifaceted,FA-ANY,,8,5to14,High,MULTI,58,11,62,26,Unclear,High/Unclear,Low,Low,post
Arshad,2007,Isle of Wight Prevention Study,RCT,Multifaceted,AR,,8,5to14,High,MULTI,58,19,62,28,Unclear,High/Unclear,Low,Low,post
Arshad,2007,Isle of Wight Prevention Study,RCT,Multifaceted,ARatop,,8,5to14,High,MULTI,55,7,62,19,Unclear,High/Unclear,Low,Low,post
Arshad,1992,Isle of Wight Prevention Study,RCT,Multifaceted,AD,,1,0to4,High,MULTI,58,4,62,12,Unclear,High/Unclear,Unclear,High/Unclear,post
Arshad,1992,Isle of Wight Prevention Study,RCT,Multifaceted,ASany,,1,any,High,MULTI,58,2,62,6,Unclear,High/Unclear,Unclear,High/Unclear,post
Arshad,1992,Isle of Wight Prevention Study,RCT,Multifaceted,RecWheeze,,1,0to4,High,MULTI,58,4,62,12,Unclear,High/Unclear,Unclear,High/Unclear,post
Arshad,1992,Isle of Wight Prevention Study,RCT,Multifaceted,FA-ANY,,1,0to4,High,MULTI,58,2,62,7,Unclear,High/Unclear,Unclear,High/Unclear,post
